cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Heming,1,50,LASSO,8,0.8125,0.6419753086419753,0.8041666666666667,0.6977411477411477,0.888888888888889,0.6666666666666667,0.7745966692414834,0.14907119849998599
Heming,1,50,ElasticNet,8,0.8125,0.654320987654321,0.8041666666666667,0.7036334036334037,0.8,0.64,0.5773502691896258,0.0
Heming,2,5,DE_top,8,0.5,0.7160493827160495,0.6916666666666667,0.7628367003367003,0.8,0.6666666666666666,0.47140452079103173,0.0
Heming,2,5,HVG,8,0.7500000000000001,0.7283950617283951,0.8041666666666667,0.8204772079772079,0.5714285714285715,0.6923076923076924,0.16666666666666666,0.24253562503633297
Heming,2,5,LASSO,8,0.8333333333333334,0.7037037037037037,0.8875,0.6504781710664063,0.888888888888889,0.6666666666666667,0.7302967433402214,0.14907119849998599
Heming,2,5,ElasticNet,8,0.75,0.6172839506172839,0.8928571428571428,0.6087199837199837,0.6666666666666665,0.6153846153846153,0.09128709291752768,-0.24253562503633297
Heming,2,10,DE_top,8,0.7500000000000001,0.6543209876543209,0.8041666666666667,0.711894586894587,0.8,0.6666666666666667,0.47140452079103173,0.14907119849998599
Heming,2,10,HVG,8,0.75,0.6419753086419753,0.8541666666666666,0.5989297739297739,0.75,0.7368421052631577,0.4166666666666667,0.4472135954999579
Heming,2,10,LASSO,8,0.8333333333333334,0.7654320987654322,0.8875,0.8062982768865121,0.75,0.6956521739130435,0.4166666666666667,0.2672612419124244
Heming,2,10,ElasticNet,8,0.8333333333333334,0.728395061728395,0.8875,0.7892255892255892,0.75,0.6153846153846153,0.4166666666666667,-0.24253562503633297
Heming,2,15,DE_top,8,0.9166666666666667,0.654320987654321,0.95,0.7008496133496134,0.8,0.6956521739130435,0.47140452079103173,0.2672612419124244
Heming,2,15,HVG,8,0.75,0.7777777777777778,0.8541666666666666,0.7674655047204066,0.75,0.7058823529411765,0.4166666666666667,0.4472135954999579
Heming,2,15,LASSO,8,0.8333333333333334,0.7407407407407407,0.8875,0.7898027898027897,0.75,0.7272727272727274,0.4166666666666667,0.3721042037676254
Heming,2,15,ElasticNet,8,0.75,0.7160493827160493,0.8541666666666666,0.7614478114478115,0.75,0.6956521739130435,0.4166666666666667,0.2672612419124244
Heming,2,20,DE_top,8,0.75,0.6419753086419753,0.8541666666666666,0.7255571588904922,0.6666666666666665,0.6956521739130435,0.09128709291752768,0.2672612419124244
Heming,2,20,HVG,8,0.75,0.7901234567901234,0.8541666666666666,0.7412257495590828,0.75,0.8888888888888888,0.4166666666666667,0.7777777777777778
Heming,2,20,LASSO,8,0.8333333333333334,0.728395061728395,0.8875,0.7798821548821548,0.75,0.761904761904762,0.4166666666666667,0.4714045207910316
Heming,2,20,ElasticNet,8,0.8333333333333334,0.728395061728395,0.8875,0.7927868427868427,0.75,0.6956521739130435,0.4166666666666667,0.2672612419124244
Heming,2,30,DE_top,8,0.8333333333333334,0.7407407407407408,0.8875,0.8014882720765073,0.8,0.7000000000000001,0.47140452079103173,0.34188172937891387
Heming,2,30,HVG,8,0.75,0.7654320987654321,0.8541666666666666,0.7205467372134038,0.75,0.75,0.4166666666666667,0.5698028822981898
Heming,2,30,LASSO,8,0.8333333333333334,0.728395061728395,0.8875,0.7995929995929997,0.75,0.7272727272727274,0.4166666666666667,0.3721042037676254
Heming,2,30,ElasticNet,8,0.8333333333333334,0.7037037037037037,0.8875,0.7557498057498058,0.888888888888889,0.6666666666666667,0.7302967433402214,0.14907119849998599
Heming,2,50,DE_top,8,0.8333333333333334,0.7160493827160493,0.8875,0.7896723646723647,0.888888888888889,0.6666666666666666,0.7302967433402214,0.2357022603955158
